title,imdb_rating,director,release_year
The Shawshank Redemption,9.3,Frank Darabont,1994
The Godfather,9.2,Francis Ford Coppola,1972
The Dark Knight,9.1,Christopher Nolan,2008
The Godfather Part II,9.0,Francis Ford Coppola,1974
12 Angry Men,9.0,Sidney Lumet,1957
The Lord of the Rings: The Return of the King,9.0,Peter Jackson,2003
Schindler&apos;s List,9.0,Steven Spielberg,1993
The Lord of the Rings: The Fellowship of the Ring,8.9,Peter Jackson,2001
Pulp Fiction,8.8,Quentin Tarantino,1994
"Il buono, il brutto, il cattivo",8.8,Sergio Leone,1966
