title,award_wins,award_nominations,director
Oppenheimer,364.0,373.0,Christopher Nolan
Gisaengchung,309.0,260.0,Bong Joon Ho
Mad Max: Fury Road,245.0,234.0,George Miller
12 Years a Slave,244.0,338.0,Steve McQueen
The Lord of the Rings: The Return of the King,215.0,124.0,Peter Jackson
No Country for Old Men,165.0,139.0,Ethan Coen
The Dark Knight,163.0,165.0,Christopher Nolan
Inception,159.0,220.0,Christopher Nolan
1917,135.0,200.0,Sam Mendes
The Grand Budapest Hotel,135.0,227.0,Wes Anderson
